ID,Category,Sub Category,Keyword,Do/Don't,Action,Example_Title,Output_Indication,Generated_Rule,Rule_Generation_Status
85,Biomarker,Biomarker,Measurable Residual Disease-Positive,,,Outpatient blinatumomab with digital monitoring in patients with measurable residual disease positive (MRD+) B-ALL in a phase 4 study.,MRD-Positive B-Cell Acute Lymphoblastic Leukaemia,"If the input contains the keyword ""Measurable Residual Disease-Positive"" in the context of biomarker expression or analysis, apply the following processing: standardize any variant of measurable residual disease positivity (e.g., ""measurable residual disease positive"", ""measurable residual disease-positive"", ""MRD positive"", ""MRD-positive"", ""MRD+"", ""minimal residual disease positive"") to the unified biomarker term ""MRD-Positive""; when a specific disease entity is stated in the same sentence, append it after a single space in Title Case to form ""MRD-Positive <Disease>"" (e.g., ""MRD-Positive B-Cell Acute Lymphoblastic Leukaemia""); if multiple indications are produced, separate each complete indication with "";;"", to ensure proper medical indication formatting and clinical accuracy.",Success
86,Biomarker,Biomarker,MRD-Positive,**,Only when it is followed by disease name,Outpatient blinatumomab with digital monitoring in patients with measurable residual disease positive (MRD+) B-ALL in a phase 4 study.,MRD-Positive Myelofibrosis,"If the input contains the keyword “MRD-Positive” in the context of biomarker expression or analysis, apply contextual processing:  

• Detect any of the following syntactic variants that denote a positive measurable/minimal residual disease status  
 – “MRD-Positive”, “MRD positive”, “MRD-positive”, “MRD+”, or “measurable/minimal residual disease positive (MRD+)”.  
• Confirm that one of these variants is immediately followed—within the same clause (≤ 3 intervening words) or enclosed in the same parenthetical statement—by an explicit malignant-disease name (e.g., “B-ALL”, “AML”, “Myelofibrosis”).  
• When this condition is met, output the indication in the form:  
  MRD-Positive <Standard-Disease-Name>  
 – Replace any implicit abbreviation with its accepted full disease term if a registry mapping exists (e.g., “B-ALL” → “B-cell Acute Lymphoblastic Leukemia”).  
 – Retain the exact disease capitalization when no mapping is available.  
• If the keyword appears without a qualifying disease name, or refers to a non-malignant context (e.g., infection, transplant graft), omit it from the output indication, as isolated MRD status lacks sufficient clinical specificity.  
• Multiple distinct MRD-positive disease mentions in one abstract must be separated by “;;” (e.g., “MRD-Positive AML;; MRD-Positive ALL”), to maintain consistent separation between multiple medical indications.",Success
87,Gene type,Gene type,Mismatch-Repair Deficient,**,Mention it as dMMR,Utility of computed tomography (CT) -based staging of mismatch repair deficient (dMMR) colon cancer.,dMMR Colon Cancer,"If the input contains ""Mismatch-Repair Deficient"" in the context of genetic or molecular characterization, apply contextual processing: normalize any phrase denoting mismatch-repair deficiency (e.g., ""mismatch repair deficient"", ""mismatch-repair deficiency"", ""MMR-deficient"", ""MMR deficient"", or existing ""dMMR"") to the exact abbreviation ""dMMR""; when constructing the output indication, place ""dMMR"" first, followed by a space and the disease term, and separate multiple indications with "";;"", requiring detection and unification of spelling, hyphenation, and capitalization variants while explicitly excluding references to ""pMMR"" (mismatch-repair proficient), thereby maintaining standardized genetic mutation nomenclature.",Success
88,Gene type,Gene type,dMMR,✔,,Neoadjuvant toripalimab plus CapeOX in patients with localized dMMR/MSI-H gastric or esophagogastric junction adenocarcinoma (GC/EGJC): Results from the cohort C of phase II NICE trial.,Localized Microsatellite Instability-High/dMMR Esophagogastric Junction Adenocarcinoma;;Localized Microsatellite Instability-High/dMMR Gastric Adenocarcinoma,"If the input contains the keyword ""dMMR"" in the context of genetic or molecular characterization, apply the following processing: 
1. Normalize every variant of deficient mismatch repair – ""dMMR"", ""MMR-deficient"", ""deficient mismatch repair"" (case-insensitive, with or without hyphens/spaces) – to the exact phrase ""Microsatellite Instability-High/dMMR"".  
2. If any form of ""MSI-H/MSI- High/Microsatellite Instability-High"" is present together with dMMR, keep only one combined qualifier, rendered once as ""Microsatellite Instability-High/dMMR"", eliminating duplicates.  
3. Place this unified molecular qualifier immediately before the tumour histology and anatomical site, separated by a single space (e.g., “Localized Microsatellite Instability-High/dMMR Gastric Adenocarcinoma”).  
4. When multiple tumour sites or histologies are connected by “and”, “or”, “/”, commas, or parentheses, output a separate, fully formed indication for each site/histology while preserving any stage or localization adjectives (e.g., “Localized”), and separate each complete indication with the standard “;;” delimiter.  
5. Render the final phrase in Title Case (capitalize the first letter of each principal word) and do not alter any other clinically relevant descriptors.  

This ensures a standardized output such as “Localized Microsatellite Instability-High/dMMR Esophagogastric Junction Adenocarcinoma;;Localized Microsatellite Instability-High/dMMR Gastric Adenocarcinoma”, maintaining standardized genetic mutation nomenclature.",Success
89,Gene type,Gene type,Microsatellite Stability,**,Mention as Microsatellite Stable,A propensity score-matched comparison of fruquintinib (FRU) versus FRU combined with PD-1 inhibitors for microsatellite stability (MSS) metastatic colorectal cancer: Real-world data.,Microsatellite Stable Metastatic Colorectal Cancer,"If the input contains the keyword ""Microsatellite Stability"" or its abbreviation ""MSS"" in the context of genetic or molecular characterization, apply contextual processing: replace every validated occurrence with the status phrase ""Microsatellite Stable"" (capital-initial words, no hyphen) and position this status immediately before the tumour descriptor when building the final indication string (e.g., ""Microsatellite Stable Metastatic Colorectal Cancer""); separate multiple indications with "";;"". This replacement must only be executed after confirming the text is not simultaneously referring to or contrasting with ""Microsatellite Instability (MSI)"" to avoid misclassification, maintaining standardized genetic mutation nomenclature.",Success
90,Gene type,Gene type,MSS,✔,,SBRT with ipilimumab and nivolumab to metastatic MSS colorectal and pancreatic cancer: A pooled analysis of four prospective phase II trials.,Microsatellite Stable Colorectal Cancer;;Microsatellite Stable Pancreatic Cancer,"If the input contains the keyword ""MSS"" in the context of genetic or molecular characterization, apply the following processing: 

1. Expand the abbreviation ""MSS"" to the full genetic descriptor ""Microsatellite Stable"".
2. Identify every malignancy term (e.g., “colorectal cancer”, “pancreatic adenocarcinoma”) that appears in the same clause or sentence as ""MSS"".  
   a. For each malignancy found, prepend the expanded phrase, yielding the structure ""Microsatellite Stable <Cancer Type>"".  
   b. Retain the original cancer-type wording exactly as it appears except for capitalising the initial letter of each major word (Colorectal Cancer, Pancreatic Cancer, etc.).
3. When more than one distinct cancer type is linked to the same MSS descriptor, output a separate indication for each and separate the indications with the standard delimiter "";;"".
4. Do not insert hyphens between “Microsatellite Stable” and the cancer type; use a single space only.
5. Preserve overall sentence order in the output list; if no specific cancer type is detectably linked, emit the generic phrase “Microsatellite Stable Cancer”.
6. Final output must follow this exact template for every indication: Microsc​atellite Stable <Cancer Type>, maintaining standardized genetic mutation nomenclature.",Success
91,Stage,Stage number,Stage I-III,✔,,Short course immunotherapy as curative-intent treatment in stage I-III dMMR rectal cancer.,Stage I-III dMMR Rectal Cancer,"If the input contains the keyword ""Stage I-III"" in the context of cancer staging, apply the following processing: 
1) detect any variant of the range (e.g., ""stage I-III"", ""Stage I through III"", ""stage (I-III)"", ""Stage I to III"", with optional spaces or en-/em-dashes); 
2) standardize capitalization so the word “Stage” begins with an uppercase S; 
3) convert the Roman numerals I, II, III to the Arabic numerals 1, 2, 3 respectively, retaining the range delimiter as a single hyphen with no surrounding spaces; 
4) output the normalized string exactly as ""Stage 1-3""; 
5) when concatenating with other indication elements, separate with "";;"" as the standard delimiter, ensuring consistent medical terminology formatting and eliminating any duplicate or trailing punctuation.",Success
92,Stage,Stage number,Stage 1,**,Mention as roman numbers,Association of DAZL expression with risk of recurrence in clinical stage 1 testicular germ cell tumors.,DAZL-Expressing Recurrence-Risk Stage I Testicular Germ Cell Tumor,"If the input contains ""Stage 1"" in the context of cancer staging, apply contextual processing: convert the Arabic numeral “1” (and any optional sub-stage letter) to its Roman-numeral equivalent, yielding “Stage I” (e.g., “Stage 1a/1A” → “Stage IA”, “Stage-1” → “Stage I”); remove any hyphen between “Stage” and the numeral, preserve a single space, and capitalize the Roman numeral and any sub-stage letter, requiring lexical verification that the word immediately preceding the numeral is “Stage” (case-insensitive) to avoid altering unrelated phrases such as “Phase 1”, thereby ensuring consistent medical terminology formatting.",Success
93,Stage,Stage number,Stage 1 or Stage 2,**,Mention as roman numbers,Identification of patients at high risk for relapse using the Merlin Assay (CP-GEP) in an independent cohort of 451 patients (pts) with stage I/II melanoma who did not undergo sentinel lymph node biopsy.,High Risk Relapsed Stage I/II Melanoma,"If the input contains the keyword ""Stage 1 or Stage 2"" in the context of cancer staging, apply contextual processing: convert any occurrence of Stage 1 and Stage 2—whether written as separate terms (""Stage 1"", ""Stage 2""), combined forms (""Stage 1/2"", ""Stage 1-2""), or mixed Roman/Arabic variants (""Stage I or II"", ""Stage I–II"")—into the single, standardized Roman-numeral expression ""Stage I/II""; strip the words ""or"" and ""and"", replace hyphens, en-dashes, em-dashes, or existing slashes with one forward slash, keep a single leading capital ""S"" in ""Stage"", and remove all surrounding spaces or punctuation, requiring pattern recognition that maps 1→I and 2→II and normalizes all delimiters, ensuring consistent medical terminology formatting.",Success
94,Stage,Stage number,Stage 1 and Stage 2,**,ROS1,"Appropriate treatment for stage 1 and 2 HER 2 positive and triple-negative breast cancer by immigration status in Ontario, Canada.",Stage I HER2-positive Breast Cancer;;Stage I Triple Negative Breast Cancer;;Stage II HER2-positive Breast Cancer;;Stage II Triple Negative Breast Cancer,"If the input contains the keyword phrase ""Stage 1 and Stage 2"" in the context of cancer staging, apply contextual processing:  
1. Detect any cluster of Arabic-numeral stage designations joined by the coordinating conjunction “and” (e.g., “Stage 1 and Stage 2”, “stage 1, 2 and 3”).  
2. Split the cluster into its individual stage numbers.  
3. Convert each Arabic stage number to its Roman-numeral equivalent (1 → I, 2 → II, etc.), preserving the word “Stage” in front.  
4. Identify every tumour descriptor, biomarker qualifier, or disease subtype that appears within the same syntactic clause after the stage phrase (e.g., “HER2 positive”, “triple-negative breast cancer”).  
5. For each stage generated in step 3, pair it combinatorially with every qualifier identified in step 4 to create distinct indications in the form “Stage <Roman> <Qualifier>”.  
6. Assemble the final indications in ascending stage order; separate multiple indications with the standard delimiter “;;”, ensuring there is no trailing delimiter.  
7. Maintain original capitalization rules (“HER2-positive”, “Triple Negative Breast Cancer”, etc.) and ensure consistent medical terminology formatting.  

This special handling requires syntactic parsing to recognise coordinated stage numbers and qualifier phrases, then exhaustive combinatorial expansion so that each stage appears with every applicable disease subtype, as illustrated by the expected output “Stage I HER2-positive Breast Cancer;;Stage I Triple Negative Breast Cancer;;Stage II HER2-positive Breast Cancer;;Stage II Triple Negative Breast Cancer”.",Success
95,Stage,Stage number,Stage 1A,**,Mention as roman numbers,Histological Grade 3 in Stage 1A Lung Cancer: Survival Risks Comparable to Stage 1B,Grade III Stage IA Lung Cancer;;Grade III Stage IB Lung Cancer,"If the input contains ""Stage 1A"" in the context of cancer staging, apply contextual processing: convert the Arabic numeral to its Roman equivalent so that ""Stage 1A"" becomes ""Stage IA"" (replace “1” with “I” while retaining the immediately following capital sub-stage letter), and identically convert any co-occurring stage strings that share the same pattern (e.g., “Stage 1B” → “Stage IB”, “Stage 1C” → “Stage IC”) to preserve uniform staging nomenclature, requiring token-level inspection of every stage reference in the text for accurate AJCC-compliant formatting.",Success
96,Stage,Stage number,Stage 1B,**,Mention as roman numbers,Histological Grade 3 in Stage 1A Lung Cancer: Survival Risks Comparable to Stage 1B,Grade III Stage IA Lung Cancer;;Grade III Stage IB Lung Cancer,"If the input contains ""Stage 1B"" in the context of cancer staging, apply contextual processing: replace the Arabic numeral “1” with the Roman numeral “I” while preserving the attached sub-stage letter (“B”) and eliminating any internal space, producing “Stage IB”; require pattern recognition of “Stage <Arabic-numeral><Letter>” so that all Stage 1 sub-designations are uniformly rendered as Roman-numeral format, ensuring consistent medical terminology formatting.",Success
97,Stage,Stage Type,Limited Stage,✔,,"AdvanTIG-204: A phase 2, multicenter, randomized, 3-arm, open-label study investigating the preliminary efficacy and safety of ociperlimab (anti-TIGIT) + tislelizumab (anti-PD-1) + concurrent chemoradiotherapy (cCRT) in patients with untreated limited-stage small cell lung cancer (SCLC)",Untreated Limited Stage Small Cell Lung Cancer,"If the input contains the keyword ""Limited Stage"" in the context of cancer staging, apply the following processing:  
• Detect any case- or hyphen-based variation of the term (e.g., “limited stage”, “limited-stage”, “Limited-Stage”) and normalize it to the exact phrase “Limited Stage”.  
• Place “Limited Stage” immediately in front of the disease name in the output indication, following any existing treatment-status adjective (e.g., “Untreated Limited Stage Small Cell Lung Cancer”).  
• Remove duplicate or trailing words such as “disease” (e.g., convert “limited-stage disease” → “Limited Stage”).  
• Use single-space separation between words; do not add commas or hyphens.  
• Retain the original capitalization of other words in the indication while ensuring “Limited” and “Stage” start with capital letters, ensuring consistent medical terminology formatting.",Success
98,Stage,Stage Onset,Late Stage,✔,,"Retrospective Case Study Analysis: Medical Nutrition Therapy can help decrease hospitalizations, unplanned dialysis starts, and catheter usage in late-stage CKD patients",Late Stage Chronic Kidney Disease,"If the input contains the keyword ""Late Stage"" in the context of cancer staging, apply the following processing:  
• Preserve the phrase exactly as ""Late Stage"" (title-case, single space between words).  
• Position ""Late Stage"" immediately before the normalized disease name (e.g., Chronic Kidney Disease → ""Late Stage Chronic Kidney Disease"").  
• If multiple indications are present, separate each full indication with "";;"".  
• If the disease name already begins with a stage descriptor (e.g., ""End-Stage Renal Disease""), replace that existing descriptor with ""Late Stage"" to avoid duplication.  
• Do not append commas or other delimiters within the single indication phrase, ensuring consistent medical terminology formatting.",Success
99,Stage,Stage Type,Extensive Stage,✔,,In-depth mass cytometry analysis reveals different immune cell composition of unique molecular subtypes in extensive stage small-cell lung cancer,Extensive Stage Small Cell Lung Cancer,"If the input contains the keyword ""Extensive Stage"" in the context of cancer staging, apply the following processing: 
1) normalize the phrase to Title Case as ""Extensive Stage""; 
2) locate the specific cancer type mentioned in the same sentence or clause (e.g., ""small-cell lung cancer"" → ""Small Cell Lung Cancer""); 
3) construct the output indication by concatenating the normalized stage term, a single space, and the standardized cancer name (e.g., ""Extensive Stage Small Cell Lung Cancer""); 
4) if multiple cancer types are identified, create a separate indication for each and separate them with "";;""; 
5) remove all ancillary punctuation, abbreviations, or parentheses from the cancer name; 
6) retain only one space between words, ensuring consistent medical terminology formatting.",Success
100,Stage,Stage Severity,Mild-Moderate,✔,,Aerobic Fitness Is Associated with Better Cognitive and Motor Function in Mild-moderate Parkinson's Disease,Mild-Moderate Parkinson's Disease,"If the input contains the keyword ""Mild-Moderate"" in the context of cancer staging, apply the following processing: 

1. Detect any case-insensitive variants of the phrase (e.g., “mild moderate”, “mild-to-moderate”, “mild–moderate”, “Mild–Moderate”).  
2. Normalize the phrase to the exact, title-case form “Mild-Moderate”, replacing spaces, slashes, en-dashes, or the words “to”/“and” with a single hyphen.  
3. Position the normalized stage severity immediately before the disease name, separated by a single space, yielding the format “Mild-Moderate <Disease>”.  
4. Retain existing disease nomenclature unchanged; if multiple indications are produced, separate each with “;;”.  

This ensures consistent medical terminology formatting for stage severity descriptions.",Success
101,Stage,Stage Severity,Moderate-Severe,✔,"Dont mention individually with separators, mention as it is ",Serum Leucine-Rich A 2-Glycoprotein Level Of Less Than 10 Mg/Ml Can Predict Endoscopic Remission In Patients With Moderate-Severe Ulcerative Colitis.,Moderate-Severe Ulcerative Colitis,"If the input contains the keyword ""Moderate-Severe"" in the context of cancer staging, apply the following processing: preserve the compound severity phrase exactly as ""Moderate-Severe"" (normalize case so that only the initial letters “M” and “S” are capitalized, convert any en-dash or minus sign to a standard hyphen, and remove excess spaces); do NOT separate “Moderate” and “Severe” with commas, “;;”, or any other delimiter; immediately append the disease/condition term that follows in the source text to produce the output indication in the form ""Moderate-Severe <Disease/Condition>"", ensuring consistent medical terminology formatting.",Success
102,Stage,Stage Severity,Moderate to Severe,**,Add as Moderate-Severe,Serum Leucine-Rich A 2-Glycoprotein Level Of Less Than 10 Mg/Ml Can Predict Endoscopic Remission In Patients With Moderate To Severe Ulcerative Colitis.,Moderate-Severe Ulcerative Colitis,"If the input contains the keyword ""Moderate to Severe"" in the context of cancer staging, apply contextual processing: 
• Detect the phrase case-insensitively in either form ""moderate to severe"" or ""moderate-to-severe"".  
• Replace the entire detected phrase with the standardized severity label ""Moderate-Severe"" (capitalized, single hyphen, no spaces around the hyphen).  
• Immediately append the disease or condition term that follows the original phrase (up to the next punctuation mark or end of sentence) separated by a single space, yielding the format ""Moderate-Severe <Disease/Condition>"", e.g., ""Moderate-Severe Ulcerative Colitis"".  
• If the phrase is already written as ""Moderate-Severe"", simply normalize capitalization to ""Moderate-Severe"".  
• Do not duplicate the disease name if it already appears elsewhere in the indication.  
This requires contextual analysis to accurately capture and attach the correct disease/condition name, ensuring consistent medical terminology formatting.",Success
103,Stage,Stage Severity,Mild,✔,,Making a Clinical Diagnosis of MCI or Mild Dementia,Mild Dementia;;Mild Cognitive Impairment,"If the input contains the keyword ""Mild"" in the context of cancer staging, apply the following processing:  

• Identify every occurrence of the word “Mild” when it directly precedes (or is immediately followed by a comma and then precedes) a diagnosable disease or clinical condition term (e.g., “dementia”, “cognitive impairment”, “psoriasis”).  
• Capture the full noun phrase that represents the disease/condition.  
• Output a new medical-indication string built as:  
  ""Mild "" + <Exact-Disease-Term-as-Captured>  
  (retain single space, retain original disease capitalization or convert to Title Case if it appears in lowercase).  
• If more than one distinct “Mild <Disease>” phrase is found in the same source text, list each unique indication once, preserving the original order of appearance, and separate the indications with the standard double semicolon delimiter “;;”.  
• Do not create an indication if “mild” is used as a non-clinical adjective (e.g., “mild pain”, “mild symptoms”) or if no specific disease noun follows within three tokens.  
• Do not alter non-disease wording; do not append “Stage” or numerals.  
• Maintain the exact spelling of the disease term (e.g., “Mild Dementia”, “Mild Cognitive Impairment”), ensuring consistent medical terminology formatting.",Success
104,Stage,Stage Severity,Moderate,✔,,Rapid Symptomatic Improvement With Subcutaneous Infliximab Induction Treatment For Patients With Moderate Crohn'S Disease: First Results From The Direct-Cd Study,Moderate Crohn's Disease,"If the input contains the keyword ""Moderate"" in the context of cancer staging, apply the following processing: retain ""Moderate"" as a stage-severity adjective placed immediately before the referenced disease name; capitalize the first letter of ""Moderate"" and of each word in the disease name; join them with a single space and remove any surrounding commas, parentheses, or quotation marks, while ignoring occurrences embedded in range expressions such as ""mild-to-moderate"" or ""moderate-to-severe"", ensuring consistent medical terminology formatting.",Success
105,Stage,Stage Severity,Severe,✔,,"Fascin1 Is A Marker, A Predictor, And A Driver Of Mucosal Healing In Severe Ulcerative Colitis",Severe Ulcerative Colitis,"If the input contains the keyword ""Severe"" in the context of cancer staging, apply the following processing:  
• Identify the disease term that immediately follows or is grammatically linked to ""Severe"".  
• Construct the indication as ""Severe <Disease>"", preserving the exact disease wording and capitalizing the first letter of both ""Severe"" and the disease name.  
• Place a single space between ""Severe"" and the disease term; do not insert hyphens or additional punctuation.  
• When multiple indications are derived, separate each complete indication with "";;"".  
• Do not alter other staging descriptors (e.g., Stage II) present elsewhere in the sentence.  

This ensures consistent medical terminology formatting for severity-based stage indications.",Success
106,Stage,Stage Onset,Intermediate Stage,✔,,Recurrence Free Survival And Association Of Albi Prognostic Score In Intermediate Stage Hcc Patients Received Transarterial Chemoembolization,Intermediate Stage Hepatocellular Carcinoma,"If the input contains the keyword ""Intermediate Stage"" in the context of cancer staging, apply the following processing:  
1) Preserve the exact phrase ""Intermediate Stage"" as the staging descriptor.  
2) Locate the cancer type mentioned in the same clause/title (e.g., ""HCC"", ""Hepatocellular Carcinoma"", ""NSCLC"") and normalize it to its full, Title-Case disease name (e.g., ""HCC"" → ""Hepatocellular Carcinoma"").  
3) Concatenate the descriptor and the normalized cancer name with a single space to form ""<Intermediate Stage> <Cancer Name>"" (e.g., ""Intermediate Stage Hepatocellular Carcinoma"").  
4) Remove surrounding words such as “patients”, “with”, “received”, treatment names, or other non-diagnostic modifiers.  
5) If more than one distinct cancer type is present, generate separate indications for each, separating them with "";;"".  
6) Do not add any additional punctuation, staging qualifiers, or parenthetical abbreviations.  
7) Output must retain Title Case for each major word.  

This ensures consistent medical terminology formatting and precise staging representation.",Success
107,Stage,Stage Onset,Early-Intermediate Stage,**,Capture as Early-Intermediate Stage,"Comparative Analysis Of The Safety Of Non-Transplant Treatment Options For Early- To Intermediate-Stage Hepatocellular Carcinoma Across A Large, Integrated Health Care System In Northern California.",Early-Intermediate Stage Hepatocellular Carcinoma,"If the input contains ""Early-Intermediate Stage"" in the context of cancer staging, apply contextual processing: 
capture any wording that expresses the combined staging range—e.g., “Early-Intermediate Stage”, “early to intermediate stage”, “early/intermediate-stage”, or “early- to intermediate-stage”—and normalize it to the exact, capitalized string “Early-Intermediate Stage”; then concatenate it with the detected cancer/disease term using a single space (format: “Early-Intermediate Stage <Disease>”), ensuring no additional punctuation, requiring pattern recognition that accepts hyphen, slash, or “to” as interchangeable delimiters while excluding isolated “early stage” or “intermediate stage” mentions, ensuring consistent medical terminology formatting.",Success
108,Stage,Stage Onset,End Stage,✔,,Improving CVD-Related Outcomes in ESKD,Cardiovascular Disease;;End Stage Kidney Disease,"If the input contains the keyword ""End Stage"" in the context of cancer staging, apply the following processing: 

• Identify any case-insensitive occurrence of “end stage”, “end-stage”, or the standard abbreviations ESKD, ESRD, ESLD, or ESHF.*  
• Convert the finding to the standardized title-case format “End Stage <Disease Entity>”, removing hyphens and inserting a single space (e.g., “end-stage renal disease”, “ESKD” → “End Stage Kidney Disease”).  
• Retain the clinically correct disease designator (“Disease”, “Failure”, etc.); append “Disease” if the source term ends with an organ name only (e.g., “End Stage Liver” → “End Stage Liver Disease”).  
• If multiple medically valid indications are generated, separate each full indication with “;;”, ensuring consistent medical terminology formatting.  

*Current abbreviation map:  
 ESKD → End Stage Kidney Disease  
 ESRD → End Stage Renal Disease  
 ESLD → End Stage Liver Disease  
 ESHF → End Stage Heart Failure  

This normalizes end-stage terminology, ensuring consistent medical terminology formatting.",Success
109,Stage,Stage Onset,Early Stage,✔,,Novel biomarkers for diagnosis and prognosis in early stage pancreatic cancer,Early Stage Pancreatic Cancer,"If the input contains the keyword ""Early Stage"" (including the variants ""early stage"", ""early-stage"", or ""Early-Stage"") in the context of cancer staging, apply the following processing: normalize the phrase to exactly ""Early Stage"" (title-case, no hyphen), place it immediately before the standardized disease name to create the indication in the format ""Early Stage <Disease Name>""; delete any duplicate or trailing punctuation and ensure a single space separates the phrase from the disease name; if more than one eligible disease name is present, output each as a separate indication joined by "";;"", ensuring consistent medical terminology formatting.",Success
110,Stage,Stage Type,Intermediate Epithelial State,**,Retain to the context,Patients with intermediate epithelial state colorectal cancer show distinct treatment responses,Intermediate Epithelial State Colorectal Cancer,"If the input contains the keyword ""Intermediate Epithelial State"" in the context of cancer staging, apply contextual processing: keep the phrase ""Intermediate Epithelial State"" exactly as written and append the explicitly stated cancer type found in the same clause or sentence (e.g., ""Colorectal Cancer""), inserting a single space between the two components and capitalizing the first letter of each major word; if more than one cancer type is mentioned, create separate indications for each, separated with "";;"". This requires dynamic extraction of the nearest tumor-site term while preserving original capitalization, and omission of stage numbering conversions, ensuring consistent medical terminology formatting.",Success
111,Stage,Stage Type,Intermediate Mesenchymal State,**,Retain to the context,Survival outcomes in intermediate mesenchymal state pancreatic cancer patients receiving targeted therapy,Iintermediate Mesenchymal State Pancreatic Cancer,"If the input contains the keyword ""Intermediate Mesenchymal State"" in the context of cancer staging, apply contextual processing: retain the exact phrase ""Intermediate Mesenchymal State"" as a stage descriptor placed immediately before the identified cancer type (e.g., “Intermediate Mesenchymal State Pancreatic Cancer”), capitalizing the first letter of each word and removing any intervening punctuation or filler words, requiring detection of the nearest malignancy term in the same clause, normalization of capitalization and spacing, and separation from additional indications with “;;”, ensuring no additional stage numerals or modifiers are appended and avoiding duplicate stage-cancer constructions.",Success
112,Stage,Stage Type,Distant Stage ,✔,,"Medicare plan switching, hospice enrollment, and place of hospice services at the end-of-life among decedent patients diagnosed with distant stage cancers in 2010-2019.",Distant Stage Cancer,"If the input contains the keyword ""Distant Stage"" in the context of cancer staging, apply the following processing: normalize any variant of the phrase (case-insensitive, optional hyphenation, and/or trailing punctuation), replace it with the exact standardized indication ""Distant Stage Cancer""; remove adjacent tumour-site words unless they are mapped by a separate rule, and when multiple indications are present separate each with "";;"", ensuring consistent medical terminology formatting.",Success
113,Stage,Stage Type,Low Stage,✔,,Psma Expression In Colorectal Cancer Vasculature Is Higher In Low Stage Tumors: A Potential Biomarker For Monitoring Treatment Response And Local Recurrence In Rectal Cancer,PSMA-Expressing Colorectal Cancer;;Locally Recurrent Rectal Cancer;;Low Stage Tumor,"If the input contains the keyword ""Low Stage"" (including the variants ""low stage"" or ""low-stage"") in the context of cancer staging, apply the following processing: 
1. Convert the phrase to the standardized indication ""Low Stage Tumor"", capitalizing each word and appending the word ""Tumor"" if it is not already present.  
2. Treat ""Low Stage Tumor"" as a standalone indication and separate it from any other indications with the standard "";;"" delimiter, ensuring consistent medical terminology formatting.",Success
114,Stage,Stage Type,Extranodal Limited-Stage,✔,,Treatment outcomes in patients with extranodal limited-stage diffuse large B-cell lymphoma,Extranodal Limited-Stage Diffuse Large B-Cell Lymphoma,"If the input contains the keyword ""Extranodal Limited-Stage"" in the context of cancer staging, apply the following processing: 

1. Detect the phrase case-insensitively, accepting the variants  
   • “extranodal limited-stage”  
   • “extranodal limited stage” (missing hyphen)  
   • “extranodal-limited-stage” (extra hyphens)  
2. Normalize every accepted variant to the exact, title-case form “Extranodal Limited-Stage”, retaining a single hyphen between “Limited” and “Stage”.  
3. When a cancer type follows (e.g., “diffuse large B-cell lymphoma”), concatenate the normalized stage descriptor and the cancer type with exactly one space and no comma:  
   Extranodal Limited-Stage Diffuse Large B-Cell Lymphoma  
4. If multiple medical indications are produced from the same abstract, separate each complete indication with “;;”.  
5. Do not abbreviate, re-order, or append additional punctuation to the stage descriptor.  

Formatting note: ensuring consistent medical terminology formatting.",Success
115,Grade,Grade,High Grade,✔,,Comparative outcomes of radical nephroureterectomy and kidney-sparing surgery in the treatment of high-grade upper tract urothelial carcinoma.,High Grade Upper Tract Urothelial Carcinoma,"If the input contains the keyword ""High Grade"" in the context of cancer grading, apply the following processing: 
• Detect all lexical variants of the phrase, including ""high grade"", ""high-grade"", ""High-Grade"", and the abbreviation ""HG"".  
• Replace any detected variant with the standardized phrase ""High Grade"" (capital ‘H’, capital ‘G’, single space, no hyphen).  
• Position ""High Grade"" immediately before the disease or tumor name, separated by exactly one space and without intervening punctuation.  
This normalizes grade terminology across abstracts, ensuring consistent medical indication formatting.",Success
116,Grade,Grade,Low Grade,✔,,Longitudinal Volumetric Analysis of FLAIR Hyperintensity Following Radiation Therapy (RT) in Patients with Low-grade Glioma (LGG),Low-Grade Glioma,"If the input contains the keyword ""Low Grade"" in the context of cancer grading, apply the following processing: 
1. Detect any variant of the phrase – “low grade”, “Low grade”, “low-grade”, or “Low-grade” (case-insensitive, hyphen optional).  
2. Normalize the detected phrase to the capitalized, hyphenated form “Low-Grade”.  
3. If the normalized phrase is part of a larger noun phrase that includes a tumor or disease name appearing immediately after it (e.g., “low grade glioma”, “low-grade serous ovarian carcinoma”), retain that disease name and output “Low-Grade <Disease Name>” with a single space after the hyphenated grade (e.g., “Low-Grade Glioma”, “Low-Grade Serous Ovarian Carcinoma”).  
4. Preserve any histologic or subtype descriptors that fall between the grade and the disease name (e.g., “Low-Grade Intraductal Carcinoma”).  
5. When multiple qualified indications are present in one abstract, list each fully-formed indication and separate them with “;;”.  
Formatting note: ensure consistent medical terminology formatting by always capitalizing “Low” and “Grade”, inserting a single hyphen between them, and maintaining the original capitalization of the disease term.",Success
