ID,Abstract Title,Primary Drug,Secondary Drug,Comparator Drug,
129,"Golcadomide (GOLCA), a potential, first-in-class, oral CELMoD™ agent, ± rituximab (R) in patients with Relapsed/Refractory follicular lymphoma (R/R FL): Phase 1/2 study extended follow-up Results",Golcadomide,Rituximab,,
130,"Real-world use, safety, and efficacy of teclistamab with or without prophylactic tocilizumab in relapsed/refractory multiple myeloma; Results from the danish ABCD study.",Teclistamab,Tocilizumab,,
131,"Orelabrutinib combined with bendamustine-rituximab or obinutuzumab followed by orelabrutinib maintenance in untreated marginal zone lymphoma (Optimize): A multicenter, single-arm, phase II study","Bendamustine, Obinutuzumab, Orelabrutinib, Rituximab",Orelabrutinib,,
132,Mesutoclax (ICP-248) monotherapy or combined with orelabrutinib demonstrates encouraging activity and safety in patients with chronic lymphocytic leukemia/small lymphocytic lymphoma (CLL/SLL),Mesutoclax,Orelabrutinib,,
133,"The impact of Duffy genotype on progression-free survival (PFS) with lenalidomide, Bortezomib, and dexamethasone (RVd) alone or RVd plus autologous stem cell transplantation (ASCT) and continuous R maintenance in patients (pts) with newly diagnosed multiple myeloma (NDMM): Updated subgroup analysis of the phase 3 DETERMINATION trial",RVd,"Autologous Stem Cell, RVd",,
134,"Cytogenetic subgroup analysis of the advance trial: A randomized multi-center study of carfilzomib, lenalidomide and dexamethasone (KRd) with or without daratumumab (D) in patients with newly diagnosed multiple myeloma (NDMM)",KRd,Daratumumab,,
135,Real-world incidence of bleeding events in patients with chronic lymphocytic leukemia treated with acalabrutinib +/- obinutuzumab and requiring direct oral anticoagulation,Acalabrutinib,Obinutuzumab,,
136,"A phase III, multicenter, randomized, placebo controlled, double-blind study to assess efficacy and safety of crizanlizumab (5 mg/kg) versus placebo, with or without hydroxyurea/hydroxycarbamide therapy, in adolescent and adult sickle cell disease patients with frequent vaso-occlusive crises: The sparkle study",Crizanlizumab,"Hydroxycarbamide, Hydroxyurea",,
137,ITCC-101/APAL2020D: A randomized Phase 3 trial of fludarabine/cytarabine/gemtuzumab ozogamycin with or without venetoclax in children with relapsed Acute Myeloid Leukemia,"Cytarabine, Fludarabine, Gemtuzumab Ozogamycin",Venetoclax,,
138,"Motixafortide (CXCR4 inhibition) alone and in combination with natalizumab (VLA-4 inhibition) to mobilize hematopoietic stem cells for gene therapy in sickle cell disease: A first-in-human, safety and feasibility study",Motixafortide,Natalizumab,,
139,Acalabrutinib plus rituximab followed by brexucabtagene autoleucel for frontline treatment of high-risk Mantle Cell Lymphoma: The window-3 clinical trial,"Acalabrutinib, Brexucabtagene Autoleucel, Rituximab",Brexucabtagene Autoleucel,,
140,Bortezomib-melphalan-prednisone (VMP) +/- daratumumab (DVMP) vs. lenalidomide-dexamethasone (Rd) +/- daratumumab (DRd) in transplant-ineligible real-life multiple myeloma patients: Results from the randomized phase IV real MM trial,"Bortezomib, Melphalan, Prednisone",Daratumumab,,
141,Analysis of predictive factors for POD24 in patients with previously untreated mantle cell lymphoma receiving bendamustine-rituximab with or without acalabrutinib in the phase 3 ECHO trial,Bendamustine/Rituximab,Acalabrutinib,,
142,Prognostic impact of Mantle Cell Lymphoma frontline induction response assessments in the ECOG-ACRIN E1411 study of bendamustine-rituximab +/- bortezomib and maintenance with rituximab +/- lenalidomide,"Bendamustine, Rituximab","Bortezomib, Lenalidomide",,
143,Post-transplant bendamustine (PT-BEN) with or without cyclophosphamide for gvhd prophylaxis after haplo-identical or matched unrelated donor transplants: A phase I/II trial,Bendamustine,Cyclophosphamide,,
144,Efficacy and safety of first-line orelabrutinib combined with obinutuzumab (With or Without Bendamustine) in high-risk marginal zone lymphoma: Results from the orchid study,"Obinutuzumab, Orelabrutinib",Bendamustine,,
145,Trial in progress - a randomized study of ASTX727 with or without Iadademstat in accelerated/blast-phase myeloproliferative neoplasms,ASTX-727,Ladademstat,,
146,Venetoclax in combination with cytarabine with or without idarubicin in children with relapsed or refractory acute myeloid leukemia: A multi-center phase II expansion study,"Cytarabine, Venetoclax",Idarubicin,,
147,"Randomized study of high-dose cytarabine with or without dexamethasone as post-remission therapy in younger adults with newly diagnosed AML - the french backbone intergroup (BIG)-1 study on behalf of the filo, ALFA, and SFGM-TC study groups",Cytarabine,Dexamethasone,,
148,A phase I dose escalation and expansion trial of lyt-200 (a First-In-Class Anti-Galectin-9 Antibody) alone and in combination with venetoclax/HMA in Relapsed/Refractory AML/MDS,Lyt-200,Venetoclax,,
149,"Orelabrutinib, rituximab, and thiotepa (ORT) in combination with or without high-dose methotrexate in untreated primary central nervous system lymphoma","Orelabrutinib, Rituximab, Thiotepa",Methotrexate,,
150,"Chemotherapy-free induction with pomalidomide, orelabrutinib, and rituximab (POR) followed by high-dose methotrexate,rituximab and orelabrutinin (ROM) in newly diagnosed primary CNS lymphoma: Interim analysis of a phase II study","Orelabrutinib, Rituximab","Methotrexate, Rituximab",,
151,Synergistic apoptotic effect by the combination of clk inhibitor CTX-712 and BCL-2 inhibitor ABT-199 with or without azacytidine in AML and MDS,"Abt-199, CTX-712",Azacytidine,,
152,XPO1 inhibitor WJ01024 monotherapy or in combination with ruxolitinib in myelofibrosis,Wj01024,Ruxolitinib,,
153,"An open-label, Phase I/II clinical trial of romaciclib (RVU120) as monotherapy and in combination with ruxolitinib in patients with intermediate or high-risk, primary or secondary myelofibrosis (POTAMI-61)",Romaciclib,Ruxolitinib,,
154,An open-label phase I study of JAK inhibitor ruxolitinib with and without CTLA-4 ig abatacept for the prophylaxis of graft-versus-host ddsease and cytokine release syndrome after T-cell replete haploidentical peripheral blood hematopoietic cell transplantation,Ruxolitinib,Abatacept,,
155,Update in Hemophilia Across the Lifespan: Novel Therapies/Gene Therapy/Issues in Older Patients,,,,
156,"High rates of severe maternal morbidity and preterm birth among pregnant individuals with sickle cell disease, a nationwide study from 2020-2024",,,,
157,ASH Clinical Practice Guidelines on Diagnosis of Iron Deficiency with and without Anemia,,,,
158,Hemoglobinopathies and Increased Risk of Venous Thromboembolism,,,,
159,The Changing Landscape of the Care of Patients With Immune-Mediated and Congenital TTP,,,,
160,Accurate and automated multi-center TCD velocity analysis using natural language processing,,,,
161,Hemoglobinopathies and Increased Risk of Venous Thromboembolism,,,,
162,Update in Hemophilia Across the Lifespan: Novel Therapies/Gene Therapy/Issues in Older Patients,,,,
163,Training Program Directors Workshop,,,,
164,Chromodomain helicase DNA binding protein CHD2 interacts with TET2 and regulates lineage defining transcription in hematopoietic stem and progenitor cells,,,,
165,Unravelling the epigenetic drivers of chip - MDS/CMML - AML progression through novel methylation-sensitive regulatory elements,,,,
166,Sickle cell disease in europe: A cross-border real-world data analysis from the radeep registry,,,,
167,Characterisation of the wnt signalling responsive surfaceome of myeloid cells reveals PLP2 as a regulator of haematopoietic cell proliferation and monocytic differentiation,,,,
168,Missense mutations in the PWWP domain of DNMT3A can cause cytoplasmic mislocalization of DNMT3A in AML cells,,,,
169,ASH Clinical Practice Guidelines on Diagnosis of Iron Deficiency with and without Anemia,,,,
170,The Changing Landscape of the Care of Patients With Immune-Mediated and Congenital TTP,,,,
171,"Patient-reported outcomes from dreamm-7 and dreamm-8 using the EQ-5D-3L, patient global impression of severity, and patient global impression of change",,,,
172,Medical Educators' Symposium,,,,
173,Comorbid COPD as a major independent predictor of post-discharge morbidity in adults hospitalized for sickle cell acute chest syndrome: A national propensity-matched analysis,,,,
174,"Comparative performance of khorana, padua, and improve-VTE risk assessment models for venous thromboembolism risk stratification in hospitalized oncology patients",,,,
175,Endothelial cell-derived mitochondrial transfer to Acute Myeloid Leukemia alters global gene expression to confer chemoresistance,,,,
176,Early interventions to reduce sickle cell childhood mortality in Africa (Global Burden of Disease Impact),,,,
177,ASH's SCD Initiative: 10 Years of Progress and a Look to the Future of Sickle Cell Disease Research and Care,,,,
178,The Changing Landscape of the Care of Patients With Immune-Mediated and Congenital TTP,,,,
179,Reassessing ASCT in patients aged 65-75 with multiple myeloma in the era of anti-CD38 therapies,,,,
180,Real-world experience with first-line regimens in transplant-ineligible patients with multiple myeloma,,,,
181,Medical Educators' Symposium,,,,
182,The weight of stress: Allostatic load as a predictor of vaso-occlusive episodes in adults with sickle cell disease,,,,
183,Phytosphingosine alleviates acute gvhd by inducing th cell differentiation to Tr1 through GPR120/IL-10 axis,,,,
184,Complementopathies: Modern Diagnosis and Management,,,,
185,Ornithine decarboxylase deficiency in donor T cells preserves strong GVL activity while attenuating acute and preventing steroid-resistant gut GVHD in a recipient tissue PD-L1-dependent manner,,,,
186,Update in Hemophilia Across the Lifespan: Novel Therapies/Gene Therapy/Issues in Older Patients,,,,
187,Medical Educators' Symposium,,,,
188,Spatial communication modules identify prognostic cell-cell signaling hubs in chronic graft-versus-host disease,,,,
189,Peripheral blood plasma proteomics reveals dysregulated cholesterol transport and complement pathways in myeloproliferative neoplasms,,,,
190,AML blasts and monocytic myeloid-derived suppressor cells (M-MDSC) inhibit human mucosal-associated invariant t (MAIT) cells activation.,,,,
191,Exploring the relationship between health-related stigma and perceived discrimination among adults with sickle cell disease,,,,
192,Impact of race and socioeconomics on access to T-cell engaging therapy in US patients with relapsed/refractory multiple myeloma (RRMM),,,,
193,Implementing linkage coordination: Patient experiences in the recruitment and engagement in care to impact practice enhancement (RECIPE) for sickle cell disease study,,,,
194,Complementopathies: Modern Diagnosis and Management,,,,
195,Synergistic effects of ASXL1 and BCOR on hematopoiesis and MDS/AML progression,,,,
196,Complementopathies: Modern Diagnosis and Management,,,,
197,"New evidence indicates that the NLRP3 inflammasome in hematopoietic stem and progenitor cells (HSPCs) maintains proper mitochondrial electron transport chain function and affects both cellular trafficking and metabolism through a gasdermin pore-mediated, alarmin-release-dependent mechanism",,,,
198,Medical Educators' Symposium,,,,
199,NEAT1-triggered collateral activity of CRISPR/Cas13 exhibits antileukemic activity,,,,
200,Real-world sequencing of anti-BCMA CAR T-cells and bispecific T-cell engagers in Relapsed/Refractory multiple myeloma: A multi-country analysis,,,,
201,Medical Educators' Symposium,,,,
202,Development of a prediction model for maternal pregnancy complications in sickle cell disease,,,,
203,Biology-Based Management of Iron Toxicity and Overload in Hematology Practice,,,,
204,"T-cell redirecting therapies in multiple myeloma: Barriers and knowledge gap among patients, community physicians, and caregivers",,,,
205,Beyond the genome: An integrated multi-omics approach to uncover histone ptm-driven metabolic and proteomic regulation in AML,,,,
206,"Myeloma mortality trends in the United States (Excluding Puerto Rico), 1999-2021, and future projections using ARIMA modeling and machine learning",,,,
207,Biology-Based Management of Iron Toxicity and Overload in Hematology Practice,,,,
208,STAG2 mutation preserves a stem cell phenotype in FLT3-ITD-mediated MDS to leukemia transformation,,,,
209,Medical Educators' Symposium,,,,
210,Humanistic and economic burden among caregivers of adults and children with sickle cell disease and recurrent vaso-occlusive crises,,,,
211,Unpredictability of caregiver gaps in multiple myeloma: Results from a survey of >1000 patients,,,,
212,Medical Educators' Symposium,,,,
213,Low expression of TMSB10 in bone marrow in MDS patients with T cell large granular lymphocytic proliferation is associated with improved immune tolerance status of T cells and disease prognosis: Clinical data and single-cell sequencing analysis,,,,
214,Microbiota metabolite phenlyacetylglycine alleviates acute graft-versus-host diseases,,,,
215,Heterogeneous TP53 mutation subtypes define prognostic classification in Mantle Cell Lymphoma,,,,
216,Hnrnpk haploinsufficiency in del(9q) Acute Myeloid Leukemia reveals targetable vulnerabilities,,,,
217,Shifting symptom profiles and accelerated diagnosis in AL amyloidosis: Findings from ARC community surveys 2022-2024,,,,
218,ZFP36L2 as a promising therapeutic target in acute graft-versus-host disease: Evidence from murine models and clinical validation,,,,
219,Utility of 18F-FDG PET/CT for response assessment in marginal zone lymphomas: Preliminary results of the IELSG44 international study,,,,
220,ASH-EHA Joint Symposium,,,,
221,"Molecular Diagnostics for Clinical Classical Hematologists: When to Order, What to Order, What It Means, and When to Refer to Genetics?",,,,
222,Transition to IRD maintenance after DRD induction significantly deepens response in transplant-ineligible NDMM: A prospective multicenter study,,,,
223,PTP4A3: A potential therapeutic target in Acute Myeloid Leukemia,,,,
224,Health status of Ugandan children born with sickle cell anemia and congenital HIV identified through newborn screening,,,,
225,What remains matters: Real-world impact of measurable residual disease testing in multiple myeloma,,,,
226,Biology-Based Management of Iron Toxicity and Overload in Hematology Practice,,,,
227,Inflammatory transcriptome dominates Indian AML: High iscore predicts poor outcomes even in genomically favorable subtypes and reveals regional immune-molecular divergence,,,,
228,Understanding access and treatment challenges in multiple myeloma care,,,,
229,ASH-EHA Joint Symposium,,,,
230,"Molecular Diagnostics for Clinical Classical Hematologists: When to Order, What to Order, What It Means, and When to Refer to Genetics?",,,,
231,Treating Fairly Rounds Lunch,,,,
232,Patient-driven insights in sickle cell disease: Results from a global survey informing public health strategies,,,,
233,Humanistic and economic burden among caregivers of adults and children with transfusion dependent ?-thalassemia,,,,
234,Physiologic oxygen expansion of murine lineage negative bone marrow cells enhances lymphocyte recovery following transplantation,,,,
235,Ernest Beutler Lecture and Prize,,,,
236,HDAC inhibitors potentiate the efficacy of antineoplastic agents in acute megakaryoblastic leukemia via dual activation of apoptosis and pyroptosis,,,,
237,Characterization and outcomes of patients with indolent Mantle Cell Lymphoma (iMCL) in Spain. the GELTAMO-MCL-2022 Study,,,,
238,The burden of myeloma treatment routes and locations on patients and families: Insights from a Pan-European survey,,,,
239,Safety and efficacy of triple vs quadruple therapy in transplant ineligible multiplemyeloma patients - a meta-analysis of randomized controlled trials,,,,
240,Expression of the erythroid controller of systemic iron homeostasis erythroferrone is cis-regulated,,,,
241,Targeted Therapy for AML (Triplets and More),,,,
242,Targeted Therapy for AML (Triplets and More),,,,
243,Analysis of the role of baseline PET/CT in a prospective study of unselected patients: The UK MCL biobank,,,,
244,Early Faculty Career Development Session,,,,
245,"Molecular Diagnostics for Clinical Classical Hematologists: When to Order, What to Order, What It Means, and When to Refer to Genetics?",,,,
246,Therapeutic effects of Tmprss6 suppression are negated by iron overload in a mouse model of beta-thalassemia,,,,
247,The role of G0S2 in FLT3+ AML bone marrow microenvironment and metabolism,,,,
248,Oncofetal RNA-binding proteins IGF2BP suppress innate immunity signaling pathways in leukemia stem cells,,,,
249,Platelet priming in MPN triggers pro-thrombotic intermediate affinity state in ?IIb?3 integrin,,,,
250,Early Faculty Career Development Session,,,,
251,CXCR6-dependent ILC3 migration to the intestinal stem cell compartment promotes epithelial regeneration after conditioning-related intestinal injury,,,,
252,Targeted Therapy for AML (Triplets and More),,,,
253,TIM3-Galectin9 axis drives CSF-1R-independent senescent macrophage and TSCM crosstalk in chronic graft-versus-host disease,,,,
254,Inhibition of DRP1-FIS1-Mediated mitochondrial fission as a novel strategy to prevent gvhd,,,,
255,Complement-induced procoagulant platelets in patients with antiphospholipid antibodies,,,,
256,Transcriptional programming by GATA3 regulates CD4+ T cell GM-CSF production in the gastrointestinal tract during graft versus host disease,,,,
257,Early Faculty Career Development Session,,,,
258,Haploidentical and neonatal combined transplant generates GVL effect in a murine model of haplo-cord transplant.,,,,
259,"Chronic myeloid leukemia (CML) evolution is not encoded in single-cell microstates, but emerges from population-level macrostates",,,,
260,Early Faculty Career Development Session,,,,
261,"Risk of death and comorbidities in ?-thalassemia carriers identified by consecutive genotyping: A prospective cohort study of 467,242 general population individuals",,,,
262,"PRMT1 drives platelet metabolic reprogramming, thromboinflammation, and antiplatelet drug resistance",,,,
263,Non-response to bridging therapy prior to CAR-T is associated with increased toxicity and adverse outcomes in Relapsed/Refractory multiple myeloma (RRMM),,,,
264,IFN?-driven MHC class II expression by intestinal epithelial cells dictates local cytolytic Th1 cell differentiation and intestinal stem cell loss,,,,
265,Causes of death in young children with sickle cell disease and sickle trait in young children investigated by the child health and mortality prevention surveillance (CHAMPS) network,,,,
266,"Iron overload is prevalent, likely underdiagnosed and undertreated in sickle cell disease: A real-world report from the ASH research collaborative",,,,
267,Delivery of HFE mRNA by lipid nanoparticles corrects iron parameters and BMP responsiveness in murine hereditary hemochromatosis,,,,
268,Early Faculty Career Development Session,,,,
269,Ferroportin Q248H mutation is associated with the less weight loss in persons with HIV-1,,,,
270,A TLR4-HSP70 efferocytic program in thymic macrophages sustains thymic homeostasis and T cell output,,,,
271,Real-world outcomes for anti-CD38 monoclonal antibody-naive and exposed patients receiving treatment for multiple myeloma,,,,
272,Regulatory long noncoding RNA of T cells (ReLoT/LINC00402) impairs Ror?t+ allogeneic T cells,,,,
273,"Post-SCT Maintenance Strategies in Leukemia: Who, When, and Why?",,,,
274,Stability and evolution of individual-level biomarker patterns across repeated vaso-occlusive crises in sickle cell disease,,,,
275,"A phase 3, randomized, double-blind, placebo-controlled study to assess the efficacy and safety of emactuzumab in patients with tenosynovial giant cell tumor (TANGENT).",Emactuzumab,,,
276,A phase II study of encorafenib and cetuximab (EC) beyond progression in combination with FOLFIRI in BRAF V600E-mutated metastatic colorectal cancer (mCRC).,"Cetuximab, Encorafenib, FOLFIRI",,,
277,"First safety analysis of an open-label, single arm phase II trial investigating the efficacy, safety and quality of life of neoadjuvant chemotherapy with liposomal irinotecan combined with oxaliplatin and 5-fluoruracil/folinic acid followed by curative surgical resection in patients with hepatic oligometastatic adenocarcinoma of the pancreas (HOLIPANC).","5-Fluoruracil/Folinic Acid, Liposomal Irinotecan, Oxaliplatin",,,
278,"A multiregional, randomized, controlled, open-label, phase 3 study of the anti-claudin18.2 (CLDN18.2) antibody-drug conjugate (ADC) arcotatug tavatecan (IBI343) in gastric or gastroesophageal junction adenocarcinoma (G/GEJA): Trial in progress.",Arcotatug Tavatecan,,,
279,EMERALD-Y90: A phase 2 study to evaluate transarterial radioembolization (TARE) followed by durvalumab (D) and bevacizumab (B) for the treatment of participants (pts) with unresectable hepatocellular carcinoma (uHCC) eligible for embolization.,"Bevacizumab, Durvalumab",,,
280,Survival of induction aumolertinib followed by aumolertinib and concurrent radiotherapy (RT) in unresectable EGFR-mutated stage III NSCLC: Final analysis of the phase III ADVANCE trial and real-world data.,Aumolertinib,,,
281,IMMUNORARE5: A national platform of 5 academic phase II trials coordinated by Lyon University Hospital to assess the safety and the efficacy of the immunotherapy with domvanalimab + zimberelimab combination in patients with advanced rare cancers-The B3 Thymomas and Thymic Carcinomas Cohort.,"Domvanalimab, Zimberelimab",,,
282,"A global phase 2/3, randomized, open-label trial of BNT327/PM8002 in combination with chemotherapy (chemo) in first-line (1L) non-small cell lung cancer (NSCLC).",PM8002/BNT327,,,
283,"Lenvatinib plus pembrolizumab and chemotherapy versus chemotherapy in advanced, metastatic gastroesophageal adenocarcinoma: The phase 3, randomized LEAP-015 study.","Lenvatinib, Pembrolizumab",,,
284,Optimizing post–chimeric antigen receptor (CAR) T cell monitoring: Evidence across lisocabtagene maraleucel (liso-cel) pivotal clinical trials and real-world experience.,"CAR T-Cell, Lisocabtagene Maraleucel",,,
285,Real-world safety and effectiveness of avelumab in immune-compromised (IC) and non-IC patients with Merkel cell carcinoma (MCC): Results from a prospective German registry (MCC-TRIM).,Avelumab,,,
286,"Isatuximab, bortezomib, lenalidomide, and dexamethasone (Isa-VRd) in newly diagnosed multiple myeloma (NDMM): Outcomes in patients with 1q21+ status in the phase 3 IMROZ study.","Bortezomib, Dexamethasone, Isatuximab, Lenalidomide",,,
287,"SHR-A1811 as neoadjuvant therapy for HR-positive, HER2-low breast cancer: A single-arm, phase II clinical study.",SHR-A1811,,,
288,Promising early results of MHB088C (B7-H3 ADC) in patients (pts) with metastatic castration-resistant prostate cancer (mCRPC) from a phase 1/2 multicenter study.,MHB088C,,,
289,Neoadjuvant lenvatinib plus pembrolizumab for resectable clear-cell renal cell carcinoma (PELUR): A prospective phase 2 study.,"Lenvatinib, Pembrolizumab",,,
290,Monotherapy of envafolimab in patients with high tumor mutational burden advanced solid tumors: Results from a phase II clinical trial.,Envafolimab,,,
291,IMMUNORARE5: A national platform of 5 academic phase II trials coordinated by Lyon University Hospital to assess the safety and the efficacy of the immunotherapy with domvanalimab + zimberelimab combination in patients with advanced rare cancers-The Anaplastic Thyroid Carcinomas Cohort.,"Domvanalimab , Zimberelimab",,,
292,"Single low-dose 5-mg versus 8-mg dexamethasone with NEPA for the 168-h prevention of highly or moderately emetogenic (high-risk patients) chemotherapy-induced nausea/vomiting: An open-label, randomised, controlled, phase 3 trial.","Dexamethasone, NEPA",,,
293,"Efficacy and safety of MHB088C, a novel B7-H3-targeted ADC, in patients with relapsed extensive-stage small cell lung cancer (ES-SCLC): Subgroup analysis from a phase 1/2 multicenter study.",MHB088C,,,
294,Long-term clinical outcome assessments in patients with tenosynovial giant cell tumor treated with vimseltinib: 1-year results from the MOTION phase 3 trial.,Vimseltinib,,,
295,"IMM2510, an anti-PD-L1/VEGF bispecific antibody fusion protein, in patients with R/R STS: A phase Ib expansion study.",IMM2510,,,
296,Comparative efficacy of cabozantinib or lenvatinib following atezolizumab plus bevacizumzb in patients with advanced hepatocellular cancer.,"Atezolizumab, Bevacizumab, Cabozantinib, Lenvatinib",,,
297,"A phase 1a/1b trial in relapsed/refractory T-cell non-Hodgkin lymphoma to determine the safety profile, pharmacology, and maximum tolerated dose of ST-001, an intravenous fenretinide phospholipid suspension (12.5 mg/mL).",ST-001,,,
298,"IBI354, an anti-HER2 antibody-drug conjugate, in patients with locally advanced unresectable or metastatic ovarian cancers: Updated results from a phase I trial.",IBI354,,,
299,Safety and efficacy analysis of DNV3 plus toripalimab and chemotherapy in advanced melanoma: An open-label investigator-initiated trial.,Toripalimab,,,
300,COBRA: Assessment of the efficacy of 64Cu-SAR-bisPSMA using histopathology and standard of care imaging as reference standard in patients with biochemical recurrence of prostate cancer following definitive therapy.,64Cu-SAR-bisPSMA,,,
301,"A first-in-human, phase 1 dose escalation and expansion study evaluating the safety, tolerability, and anti-tumor activity of [225Ac]Ac-FL-020, an anti-PSMA radioconjugate, in patients with metastatic castration-resistant prostate cancer (mCRPC).",[225Ac]Ac-FL-020,,,
302,Claudin18.2 (CLDN18.2) expression and efficacy in pancreatic ductal adenocarcinoma (PDAC): Results from a phase I dose expansion cohort evaluating IBI343.,IBI343,,,
303,"A phase 1 study of fixed-dose regimens of serplulimab, an anti-PD-1 antibody, in patients with advanced solid tumors.",Serplulimab,,,
304,"PROCEADE PanTumor: A phase 1b/2, multicenter study of precemtabart tocentecan (M9140), an anti-CEACAM5 antibody-drug conjugate (ADC) with exatecan payload, in patients with advanced solid tumors.","Exatecan, Precemtabart Tocentecan",,,
305,Tarlatamab for Extensive-Stage Small Cell Lung Cancer,Tarlatamab,,,
306,Epcoritamab for Relapsed or Refractory Follicular Lymphoma,Epcoritamab,,,
307,Datopotamab Deruxtecan for Metastatic Hormone Receptor Positive HER2 Low or Negative Breast Cancer,Datopotamab Deruxtecan,,,
308,Vorasidenib for Grade 2 Astrocytoma or Oligodendroglioma With a Susceptible IDH1 or IDH2 Mutation,Vorasidenib,,,
309,Reduced dose PTCy in patients with acute myeloid leukemia receiving matched unrelated donor allogeneic hematopoietic stem cell transplantation.,"Allogeneic Hematopoietic Stem Cell, Cyclophosphamide",,,
310,Efficacy of macrophage checkpoint Clever-1 inhibition with bexmarilimab plus azacitidine in myelodysplastic syndrome: Results from the ph1/2 BEXMAB study.,"Azacitidine, Bexmarilimab",,,
311,Dosing decitabine and venetoclax for terminal differentiation to improve outcomes in TP53 mutant MDS and AML.,"Decitabine, Venetoclax",,,
312,"IMproveMF update: Phase 1/1B trial of imetelstat (IME)+ruxolitinib (RUX) in patients (pts) with intermediate (INT)-1, INT-2, or high-risk (HR) myelofibrosis (MF).","Imetelstat, Ruxolitinib",,,
313,Efficacy and safety of asciminib (ASC) in patients (pts) with chronic-phase chronic myeloid leukemia (CML-CP) after 1 tyrosine kinase inhibitor (TKI): Interim analysis (IA) of the phase 2 ASC2ESCALATE trial.,Asciminib,,,
314,Psychosocial digital application for caregivers of patients undergoing hematopoietic stem cell transplantation (HSCT): A randomized controlled trial.,Hematopoietic Stem Cell,,,
315,A phase 1 study of KITE-363 anti-CD19/CD20 chimeric antigen receptor (CAR) T-cell therapy in patients (pts) with relapsed/refractory (R/R) B-cell lymphoma (BCL).,KITE-363,,,
316,WaveLINE-003: Phase 2/3 trial of zilovertamab vedotin plus standard of care in relapsed/refractory diffuse large B-cell lymphoma.,Zilovertamab Vedotin,,,
317,"Sintilimab (anti-PD-1 antibody) combined with chidamide (an oral subtype-selective HDACi) followed by P-GemOx regimen in patients with treatment-naïve extranodal natural killer/T cell lymphoma (TN-ENKTL): A multicenter, open-label, single-arm, phase II study (SCENT-2 trial).","Chidamide, Sintilimab",,,
318,"Sintilimab (anti-PD-1) plus ifosfamide, carboplatin, and etoposide (ICE) in second-line classical Hodgkin lymphoma (cHL): Results of a multicenter, randomized, controlled, double-blind phase 3 study (ORIENT-21).","Carboplatin, Etoposide, Ifosfamide, Sintilimab",,,
319,Results from the completed dose-finding part of phase 2 study of the innate cell engager acimtamig (AFM13) in combination with AlloNK (AB-101) in relapsed or refractory classical Hodgkin lymphoma (LuminICE-203).,"AB-101, AFM13",,,
320,Treatment rechallenge after trastuzumab-deruxtecan–related interstitial lung disease: A multi-institution cohort study.,Trastuzumab Deruxtecan,,,
321,Phase IB and II study of ribociclib with trastuzumab plus endocrine therapy in HR+/HER2+ advanced breast cancer patients: Korean Cancer Study Group BR 18-2 MINI trial.,"Ribociclib, Trastuzumab",,,
322,HER2-ADC trastuzumab rezetecan (SHR-A1811) in HER2-positive breast cancer with brain metastases: Update results from REIN trial.,Trastuzumab Rezetecan,,,
323,A phase II clinical study of adebrelimab and bevacizumab combined with cisplatin/carboplatin in triple-negative breast cancer patients with brain metastases.,"Adebrelimab, Bevacizumab",,,
324,Sacituzumab tirumotecan (sac-TMT) as first-line treatment for unresectable locally advanced/metastatic triple-negative breast cancer (a/mTNBC): Initial results from the phase II OptiTROP-Breast05 study.,Sacituzumab Tirumotecan,,,
325,"Dose optimization of PF-07248144, a first-in-class KAT6 inhibitor, in patients (pts) with ER+/HER2− metastatic breast cancer (mBC): Results from phase 1 study to support the recommended phase 3 dose (RP3D).",PF-07248144,,,
326,Phase II study of trastuzumab-pkrb plus gedatolisib in patients with HER2-positive metastatic breast cancer who progressed after 2 or more HER2-directed chemotherapies (KM-10A/KCSG BR18-13).,"Gedatolisib, Trastuzumab",,,
327,"DB-1310, a HER3-targeted ADC, in pts with advanced solid tumors: Preliminary results from the phase 1/2a trial.",DB-1310,,,
328,"Phase I study of iza-bren (BL-B01D1), an EGFR x HER3 bispecific antibody-drug conjugate (ADC), in patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) with driver genomic alterations (GA) outside of classic EGFR mutations.",IZA-BREN,,,
329,"Phase I study of iza-bren (BL-B01D1), an EGFR x HER3 bispecific antibody-drug conjugate (ADC), in patients with locally advanced or metastatic small cell lung cancer (SCLC).",IZA-BREN,,,
330,"Safety and efficacy of TQB2102, a novel bispecific anti-HER2 antibody–drug conjugate, in patients with advanced solid tumors: Preliminary data from the first-in-human phase 1 trial.",TQB-2102,,,
331,Efficacy and safety of the DLL3/CD3 T-cell engager obrixtamig in patients with extrapulmonary neuroendocrine carcinomas with high or low DLL3 expression: Results from an ongoing phase I trial.,Obrixtamig,,,
332,[212Pb]VMT-α-NET therapy in somatostatin receptor 2 (SSTR2) expressing neuroendocrine tumors (NETs): Dose-limiting toxicity (DLT) observation participants after 1 year follow-up and preliminary report for expansion participants.,[212Pb]VMT-Alpha-NET,,,
333,Final clinical and molecular analysis of the EORTC randomized phase III intergroup CATNON trial on concurrent and adjuvant temozolomide in anaplastic glioma without 1p/19q codeletion: NCT00626990.,Temozolomide,,,
334,A phase 2 study of pemigatinib for pre-treated glioblastoma or other gliomas with activating FGFR1-3 alterations: Results from FIGHT-209.,Pemigatinib,,,
335,A phase II study of asandeutertinib (TY-9591) in advanced NSCLC patients with EGFR-positive mutations and brain metastases.,Asandeutertinib,,,
